questionid,category,round,question,solution,explanation,type,action
9,Subject Verb Agreement,2,People who are generally obese tends to suffer from chronic disease such as diabetes.,People who are generally obese tend to suffer from chronic disease such as diabetes.,"""People"" takes the plural form of the verb.",C,replace
9,Subject Verb Agreement,3,"Electronic cigarettes (e-cigarettes) is an alternative to traditional cigarettes (Lindberg, 2016).","Electronic cigarettes (e-cigarettes) are an alternative to traditional cigarettes (Lindberg, 2016).","""cigarettes"" takes the plural form of the verb.",C,replace
9,Subject Verb Agreement,4,The Student Wellness Centre offer several therapy options for students.,The Student Wellness Centre offers several therapy options for students.,"""Student Wellness Centre"" takes the singular verb form.",C,replace
9,Verb Form,0,This technique improves the quality of healthcare and reducing post-surgery costs.,This technique improves the quality of healthcare and reduces post-surgery costs.,Parallelism of verb forms- improves and reduces,Test,replace
9,Verb Form,1,Her arguments may seemed more opinion-based rather than evidence-based.,Her arguments seemed more opinion-based rather than evidence-based.,Simple past tense,C,remove
9,Verb Form,1,I would highly recommending featuring the trend of rising death-by-drugs rates which is more relevant to our readers.,I would highly recommend featuring the trend of rising death-by-drugs rates which is more relevant to our readers.,"The present simple tense is used for verbs (action words e.g. recommend) that do not have progressive forms (i.e. the -ing form). In this case, ""recommend"" does not have a progressive form simply because you either recommend something or you don't. Of course, you could say that you are recommending a course of action at this very point in time but typically recommendations last beyond the point at which you make them.",SP,replace
9,Verb Form,2,Some popular brands have a reputation of be unethical.,Some popular brands have a reputation of being unethical.,"In a present continuous tense, the verb has is followed by a present participle ing form.",C,replace
9,Verb Form,3,I recommend install three karaoke booths along SMU's T-junction.,I recommend installing three karaoke booths along SMU's T-junction.,"Here, you are recommending something (noun). So, you use a gerund (verb + ing) that functions as a noun.",C,replace
9,Verb Form,4,The solution is to hire an influencer to attract millennials to becoming Toggle brand ambassadors.,The solution is to hire an influencer to attract millennials to become Toggle brand ambassadors.,"When the infinitive 'to' is used, the verb that follows should be in the base form become.",C,replace
9,Word Form,1,The impacts of smart glasses is limited to those people who undergo the surgery.,The impact of smart glasses is limited to those people who undergo the surgery.,A singular form is required in this instance.,C,replace
9,Word Form,1,The pop-up stores will benefit SMU in term of rental income.,The pop-up stores will benefit SMU in terms of rental income.,"The expression ""in terms of"" means ""in relation to something (what/how/who)"". The word ""terms"" is used in the phrase ""in terms of"" (plural, not singular).",SP,replace
9,Word Form,2,SMU security guards conduct checks twice a day to ensure the equipments is not damaged.,SMU security guards conduct checks twice a day to ensure the equipment is not damaged.,"""Equipment"" is an uncountable noun so it does not have a plural form.",C,replace
9,Word Form,3,People who grew up with these games will be able to relieve their childhood.,People who grew up with these games will be able to relive their childhood.,"""Relive"" means to experience again, whereas ""relieve"" means to alleviate.",C,replace
9,Word Form,4,"Wearable technology devices can monitor calories intake, heart rate, and sleep patterns.","Wearable technology devices can monitor calorie intake, heart rate, and sleep patterns.","""Intake"" is an uncountable noun, so it does not have a plural form.",C,replace
10,Articles,1,"There are concerns that this culinary revolution nurtures an unhealthy lifestyle, which promotes high risk of obesity for millennials (Shukla, 2017).","There are concerns that this culinary revolution nurtures an unhealthy lifestyle, which promotes a high risk of obesity for millennials (Shukla, 2017).",Article required,C,insert
10,Articles,1,Many students want to bid for a SMU-X course.,Many students want to bid for an SMU-X course.,"""An"" is used in front of vowel (aeiou) sounds but not vowels (aeiou) per se. Two examples of this would be ""a university - ""y"" sound and not a vowel sound"" and ""an honest man - ""o"" sound"".",SP,replace
10,Articles,2,Offering mentorship programs could attract more millennials to join as brand ambassadors and ensure long-term commitment to Toggle.,Offering mentorship programs could attract more millennials to join as brand ambassadors and ensure a long-term commitment to Toggle.,Article required,C,insert
10,Articles,3,Diet plays one of the most important roles in a determining one's health.,Diet plays one of the most important roles in determining one's health.,No article required,C,remove
10,Articles,4,"As beetroot is considered to be the superfood, it is a popular item on many menus in Singapore.","As beetroot is considered to be a superfood, it is a popular item on many menus in Singapore.",a' required,C,replace
10,Preposition,1,This solution emphasises on the company's mission to be the preferred choice for arts programmes.,This solution emphasises the company's mission to be the preferred choice for arts programmes.,No preposition required after the verb,C,remove
10,Preposition,1,International fans also bought a half-page advertisement on Iceland's leading newspaper to celebrate Karry Wang's 17th birthday.,International fans also bought a half-page advertisement in Iceland's leading newspaper to celebrate Karry Wang's 17th birthday.,"The collocation is to ""put/place an advertisement in some form of media to do something"" e.g. You place an advertisement in the local newspaper to sell your car.",SP,replace
10,Preposition,2,"To conclude, it would be a better option to feature on the trend of low-sugar diets.","To conclude, it would be a better option to feature the trend of low-sugar diets.",No preposition required,C,remove
10,Preposition,3,"Secondly, more young adults are adopting veganism due to their concerns of health benefits in food.","Secondly, more young adults are adopting veganism due to their concerns about health benefits in food.",Of is used to show possession while  about is used to show relationshiop to a topic or feeling.,C,replace
10,Preposition,4,"However, we will compensate brand ambassadors by providing more attractive incentives on the other areas.","However, we will compensate brand ambassadors by providing more attractive incentives in the other areas.",Incorrect preposition,C,replace
10,Punctuation,1,"Hence, I propose organising ""eSports Ignite"" a short-term collaboration between Toggle and local eSports organisations.","Hence, I propose organising ""eSports Ignite"", a short-term collaboration between Toggle and local eSports organisations.",comma needed,C,insert
10,Punctuation,1,"The majority of the subscribers are millennials, This means that Spotify must find ways to keep the millennials subscribers constantly engaged (Muller, n.d.).","The majority of the subscribers are millennials. This means that Spotify must find ways to keep the millennials subscribers constantly engaged (Muller, n.d.).",This is a run-on sentence which is a sentence where two complete sentences are incorrectly joined by a comma. Use a full stop to separate the two sentences instead.,SP,replace
10,Punctuation,2,"Artificial Intelligence is becoming more popular, due to its tremendous potential.",Artificial Intelligence is becoming more popular due to its tremendous potential.,due to' is a conjunction so the comma is not needed,C,remove
10,Punctuation,3,"As digital natives, millennials often indulge in entertainment, to break the monotony in their lives.","As digital natives, millennials often indulge in entertainment to break the monotony in their lives.",no need for a comma,C,remove
10,Punctuation,4,"Online gaming is addictive, Once people are addicted, depression can quickly follow.","Online gaming is addictive. Once people are addicted, depression can quickly follow.",Comma Splice: Two separate sentences cannot be joined with a comma.,C,replace
10,Subject Verb Agreement,1,"Similarly, Asher (2016) claim that it is vital for millennials to receive useful criticism from their employers.","Similarly, Asher (2016) claims that it is vital for millennials to receive useful criticism from their employers.","""Asher"" is a single person so the singular verb is required.",C,replace
10,Subject Verb Agreement,1,"The content aired on Netflix are designed to fulfil the needs of the audience (Newman, 2017).","The content aired on Netflix is designed to fulfil the needs of the audience (Newman, 2017).","""content"" takes the singular form of the verb ""is"". Here, ""content""is used as a singular noun and is uncountable. It refers to the ideas that are contained in a piece of writing or a film or a speech. The plural form ""contents"" is countable. For example: The contents of a book is the list of chapters or articles or parts that are in the book, with the number of the page they begin on.",SP,replace
10,Subject Verb Agreement,2,Current trends indicates that millennials are prioritising their skills development and potential career progression.,Current trends indicate that millennials are prioritising their skills development and potential career progression.,"""trends"" takes the plural form of the verb.",C,replace
10,Subject Verb Agreement,3,Jeff Fromm and Kirsten Asher discusses the issue of millennials very differently.,Jeff Fromm and Kirsten Asher discuss the issue of millennials very differently.,"""Jeff Fromm and Kirsten Asher"" are two people so the plural verb is required.",C,replace
10,Subject Verb Agreement,4,The Millennial Generation are dominating the online space.,The Millennial Generation is dominating the online space.,"""Millennial Generation"" takes the singular form of the verb.",C,replace
10,Verb Form,0,The company can emphasise the importance of its product and simultaneously increasing interactivity with the public.,The company can emphasise the importance of its product and simultaneously increase interactivity with the public.,Parallelism of verb form : can emphasise and increase,Test,replace
10,Verb Form,1,"There is an increase in the total quantity of brands available worldwide between 2000 and 2016 (Euromonitor International, 2017).","There was an increase in the total quantity of brands available worldwide between 2000 and 2016 (Euromonitor International, 2017).",Simple past tense,C,replace
10,Verb Form,1,Fenty Beauty is the only make-up brand that has examined the market's needs with sincerity and solving the issue of inequality in beauty.,Fenty Beauty is the only make-up brand that has examined the market's needs with sincerity and solved the issue of inequality in beauty.,"Use parallel structures to emphasize the connection between ideas. When structures are parallel, they are connected by a coordinate conjunction (e.g. ""and"", ""or"") and are grammatically the same (in this case, ""has examined the market's needs with sincerity"" and ""(has) solved the issue of inequality in beauty"".",SP,replace
10,Verb Form,2,The beauty industry is constantly changing and new trends are constantly evolve.,The beauty industry is constantly changing and new trends are constantly evolving.,Present continuous tense,C,replace
10,Verb Form,3,"One of the main benefits of 'Infrared Sauna' is relaxation, as it helps the user to reducing stress.","One of the main benefits of 'Infrared Sauna' is relaxation, as it helps the user to reduce stress.","When infinitive 'to' is used, the verb that follows should be in the base form 'reduce'.",C,replace
10,Verb Form,4,Disconnecting from social media gives you more time to rest and interacting with others face-to-face.,Disconnecting from social media gives you more time to rest and interact with others face-to-face.,Parallelism of verb forms- more time to rest and interact,C,replace
10,Word Form,1,Our university embraces the entrepreneurial spirits.,Our university embraces the entrepreneurial spirit.,"This version of ""spirit"" [the attitude of people in a group] is an uncountable noun, so it has no plural form.",C,replace
10,Word Form,1,One of the reason is the rise in the use of sneakers amongst young women.,One of the reasons is the rise in the use of sneakers amongst young women.,"""reasons"" (plural noun) is required because the phrase refers to one of of many.",SP,replace
10,Word Form,2,A nation's economy progress is related to the health of its citizens.,A nation's economic progress is related to the health of its citizens.,"An adjective (""economic"") is required, not a noun (""economy"").",C,replace
10,Word Form,3,The cost of seeing a therapist can amount from $75-$150.,The cost of seeing a therapist can range from $75-$150.,The cost of seeing a therapist can range from $75-$150.,C,replace
10,Word Form,4,The developments of wearable technology has made it easier for people to track their health and fitness levels.,The development of wearable technology has made it easier for people to track their health and fitness levels.,"A singular noun required is required in this instance, as there has been one development of wearable technology.",C,replace
11,Subject Verb Agreement,0,Using incentives that targets the popularity mindset of millennials is an effective strategy.,Using incentives that target the popularity mindset of millennials is an effective strategy.,"The noun (thing) here is the act of using incentives, and since more than one incentive is used, it the plural form of the verb matches incentives.",Test,replace
12,Subject Verb Agreement,0,"Mediacorp's Toggle provides Catch Up TV, local productions and a host of entertainment content, all of which is delivered online.","Mediacorp's Toggle provides Catch Up TV, local productions and a host of entertainment content, all of which are delivered online.",Many forms of entertainment content require a plural form of the verb,Test,replace
13,Subject Verb Agreement,0,"As healthcare shifts towards the use of mobile devices, patient care for the elderly has become more effective.","As healthcare shift towards the use of mobile devices, patient care for the elderly has become more effective.","Healthcare takes the singular form of the verb, so it is correct in this form",Test,replace
14,Subject Verb Agreement,0,"Existing customers are ideal brand ambassadors because they carry connections which yields a deeper impact (Santana, 2015).","Existing customers are ideal brand ambassadors because they carry connections which yield a deeper impact (Santana, 2015).",connections takes the plural form of the verb required,Test,replace
15,Subject Verb Agreement,0,It is no surprise that augmented reality technology have already infiltrated social media and mobile applications.,It is no surprise that augmented reality technology has already infiltrated social media and mobile applications.,technology takes the singular form of the verb,Test,replace
16,Punctuation,0,VR has reinvented consumers online buying experience where the shopping from end-to-end is digitised.,VR has reinvented consumers' online buying experience where the shopping from end-to-end is digitised.,"For the possessive of a plural noun, add the apostrophe after the plural -consumers'",Test,insert
17,Punctuation,0,"Singapore is one of the most expensive office rental markets in the world. (Jon, 2016).","Singapore is one of the most expensive office rental markets in the world (Jon, 2016).",Place one full stop only after the in-text citation bracket.,Test,remove
18,Punctuation,0,The bank launched a new rewards program because it's' an excellent way to increase clientele.,The bank launched a new rewards program because it's an excellent way to increase clientele.,it's is a contraction of it is.,Test,remove
19,Punctuation,0,"The popularity of brightly coloured clothing is undisputed, However we need to investigate its impact on people's mood.",The popularity of brightly coloured clothing is undisputed. However we need to investigate its impact on people's mood.,"Comma Splice: Two independent clauses cannot be joined with 'however' because it is NOT a conjunction. To join these two sentences, you can use a coordinating conjunction (e.g. but) or a semicolon.",Test,replace
20,Punctuation,0,"Tan has extensive experience mentoring millennials, Therefore Tan's article is more persuasive.",Tan has extensive experience mentoring millennials. Therefore Tan's article is more persuasive.,Two complete sentences cannot be joined with a comma.,Test,replace
21,Preposition,0,A study by ABI Research (2017) forecasted that the revenue of wearable devices will grow over 40% within the next five years.,A study by ABI Research (2017) forecasted that the revenue of wearable devices will grow by over 40% within the next 5 years.,Will grow by 10%,Test,insert
22,Preposition,0,"I have researched on possible upcoming trends, and shortlisted two on the topic of health, based on their relevance to young adults.","I have researched possible upcoming trends, and shortlisted two on the topic of health, based on their relevance to young adults.",No preposition required after the verb research,Test,remove
23,Preposition,0,This solution emphasises on the company's mission to be the preferred choice for arts programmes.,This solution emphasises the company's mission to be the preferred choice for arts programmes.,No preposition required--emphasises means focuses on,Test,remove
24,Preposition,0,"Instagram is more suited for businesses who are trying to reach a younger demographic (Nwazor, 2016).","Instagram is more suited to businesses who are trying to reach a younger demographic (Nwazor, 2016).",suited to/for  is a specific judgment about fit while suitable for refers to appropriatness.,Test,replace
25,Preposition,0,"Millennials account to 34% of the Singapore population, and are becoming the largest and most diverse generation.","Millennials account for 34% of the Singapore population, and are becoming the largest and most diverse generation.",Account for is the correct idiom,Test,replace
26,Articles,0,"Firstly, increasing number of people are reviving mindfulness meditation as a form of therapy.","Firstly, an increasing number of people are reviving mindfulness meditation as a form of therapy.",An article is required before a singular noun.,Test,insert
27,Articles,0,"education system in Singapore is extremely stressful, and students suffer from a huge amount of stress as a result.","The education system in Singapore is extremely stressful, and students suffer from a huge amount of stress as a result.",An article is required before a singular noun.,Test,insert
28,Articles,0,"In the recent years, Esports has become increasingly popular among young adults as most of the games are accessible and free to play.","In recent years, Esports has become increasingly popular among young adults as most of the games are accessible and free to play.",No article required before the idiom of in recent years.,Test,remove
29,Articles,0,"In a research conducted by Affluent Insights (2017), millennials are becoming more health-conscious.","In research conducted by Affluent Insights (2017), millennials are becoming more health-conscious.",Research is a noncount noun which does not require an article before it.,Test,remove
30,Articles,0,"As we are experiencing the rapid technological advancement, more and more consumers are becoming tech-savvy.","As we are experiencing rapid technological advancement, more and more consumers are becoming tech-savvy.",No article required,Test,remove
